ticker,side,quantity,fill_price,gross_value,fee_usd,cash_delta,cash_after,shares_after,date,signal_date,reason,target_weight,fill_mode
AAPL,BUY,39.0,48.211204528808594,1880.2369766235352,9.401184883117676,-1889.6381615066528,98110.36183849335,39.0,2019-07-01,2019-06-28,target_rebalance,0.0188811901726387,next_close
MELI,BUY,3.0,619.3099975585938,1857.9299926757812,9.289649963378906,-1867.2196426391602,96243.14219585419,3.0,2019-07-01,2019-06-28,target_rebalance,0.0193039431517306,next_close
BRKR,BUY,40.0,49.25894546508789,1970.3578186035156,9.851789093017578,-1980.209607696533,94262.93258815765,40.0,2019-07-01,2019-06-28,target_rebalance,0.020179302278872,next_close
ALLE,BUY,20.0,101.91130828857422,2038.2261657714844,10.191130828857423,-2048.4172966003416,92214.51529155731,20.0,2019-07-01,2019-06-28,target_rebalance,0.0205584735376422,next_close
BLD,BUY,26.0,81.0199966430664,2106.5199127197266,10.532599563598634,-2117.052512283325,90097.46277927399,26.0,2019-07-01,2019-06-28,target_rebalance,0.0217439685520295,next_close
EXP,BUY,25.0,85.14261627197266,2128.5654067993164,10.642827033996582,-2139.208233833313,87958.25454544068,25.0,2019-07-01,2019-06-28,target_rebalance,0.0219798823235258,next_close
TREX,BUY,76.0,35.560001373291016,2702.560104370117,13.512800521850586,-2716.072904891968,85242.1816405487,76.0,2019-07-01,2019-06-28,target_rebalance,0.0272954122132711,next_close
PAGS,BUY,74.0,36.51414108276367,2702.0464401245117,13.510232200622559,-2715.556672325134,82526.62496822356,74.0,2019-07-01,2019-06-28,target_rebalance,0.027308707789341,next_close
AWI,BUY,32.0,91.96708679199219,2942.94677734375,14.71473388671875,-2957.661511230469,79568.9634569931,32.0,2019-07-01,2019-06-28,target_rebalance,0.0302065412402438,next_close
CHDN,BUY,61.0,56.81071853637695,3465.453830718994,17.327269153594973,-3482.781099872589,76086.1823571205,61.0,2019-07-01,2019-06-28,target_rebalance,0.0349584304273596,next_close
URI,BUY,27.0,129.5101776123047,3496.7747955322266,17.483873977661133,-3514.2586695098876,72571.92368761062,27.0,2019-07-01,2019-06-28,target_rebalance,0.0352738375187297,next_close
KBR,BUY,161.0,23.020479202270508,3706.2971515655518,18.53148575782776,-3724.8286373233796,68847.09505028723,161.0,2019-07-01,2019-06-28,target_rebalance,0.0370739808077746,next_close
SHOP,BUY,135.0,30.468000411987305,4113.180055618286,20.56590027809143,-4133.745955896377,64713.349094390855,135.0,2019-07-01,2019-06-28,target_rebalance,0.041231315038054,next_close
PAYC,BUY,18.0,221.28439331054688,3983.1190795898438,19.915595397949218,-4003.034674987793,60710.31441940306,18.0,2019-07-01,2019-06-28,target_rebalance,0.0413480314897197,next_close
MA,BUY,17.0,256.4799499511719,4360.159149169922,21.80079574584961,-4381.959944915771,56328.35447448729,17.0,2019-07-01,2019-06-28,target_rebalance,0.0442749138816865,next_close
RGEN,BUY,56.0,86.05000305175781,4818.8001708984375,24.094000854492187,-4842.89417175293,51485.46030273436,56.0,2019-07-01,2019-06-28,target_rebalance,0.0483873328329541,next_close
HEI,BUY,83.0,131.76043701171875,10936.116271972656,54.68058135986328,-10990.79685333252,40494.66344940184,83.0,2019-07-01,2019-06-28,target_rebalance,0.1099947367444263,next_close
TER,BUY,240.0,47.4210090637207,11381.042175292969,56.90521087646484,-11437.947386169433,29056.71606323241,240.0,2019-07-01,2019-06-28,target_rebalance,0.1141721741065475,next_close
EXP,SELL,25.0,78.57978057861328,1964.494514465332,9.82247257232666,1954.6720418930054,31011.388105125414,0.0,2019-08-01,2019-07-31,target_exit,,next_close
URI,SELL,27.0,116.56880187988281,3147.357650756836,15.73678825378418,3131.6208625030517,34143.00896762846,0.0,2019-08-01,2019-07-31,target_exit,,next_close
