rebalance_date,net_return,drawdown,regime_state
2022-03-31,-0.1880985146208438,-0.28847111418946214,
2022-05-31,-0.15685503552034294,-0.44161657314096425,
2021-12-31,-0.1504425213887357,-0.1819762854151914,
2022-11-30,-0.13276601620049983,-0.44516690259519376,
2020-02-28,-0.12104446681092458,-0.18617972408249306,
2025-01-31,-0.12090701562797769,-0.12415379593777587,
2025-02-28,-0.1093207449073055,-0.21990195539009416,
2019-08-30,-0.09899649184570163,-0.09899649184570158,
2024-03-28,-0.07961205395361283,-0.07961205395361282,
2023-03-31,-0.07958897152000796,-0.4003419415450866,
