rebalance_date,net_return,drawdown,regime_state
2022-11-30,-0.14490920380979413,-0.43683979879417345,
2021-12-31,-0.13685510703766762,-0.1754399040904857,
2022-05-31,-0.12801523665312003,-0.3997088648331444,
2020-02-28,-0.11708263971488618,-0.18906452826133313,
2023-03-31,-0.11175376916911232,-0.4156994897309888,
2019-08-30,-0.0990391374726287,-0.09903913747262871,
2021-08-31,-0.0849134309255819,-0.0849134309255819,
2022-03-31,-0.08087643723488964,-0.2540180497692317,
2022-04-29,-0.0771636045716811,-0.3115807059944502,
2025-10-31,-0.07198154890098178,-0.14132894220490655,
