as_of_date,account_source,approval_status,row_type,ticker,current_shares,current_price,current_value_usd,current_weight,target_weight,target_value_usd,delta_weight,delta_value_usd,suggested_action,suggested_quantity_delta,preview_trade_value_delta_usd,preview_order_count,preview_order_status,monster_recommendation,monster_stage,monster_priority_score,monster_reason,portfolio_sources,source_current,source_target,risk_state,block_reason
2026-05-13,simulated_broker_replay,simulation_ready_preview_only,cash,CASH,0.0,1.0,104607.2646783187,0.09624611400335238,0.2903405562560911,315563.1968068167,0.19409444225273875,210955.93212849798,RESERVE_CASH,0.0,0.0,0,,,,0.0,,,account_ledger_preview/*/positions_current.csv,/home/runner/work/r1000-quant-engine/r1000-quant-engine/outputs/orchestrator/unified_target_latest.csv,green,
2026-05-13,simulated_broker_replay,simulation_ready_preview_only,equity,GOOG,107.0,399.0400085449219,42697.28091430664,0.03928453132914447,0.078,84776.06321461099,0.03871546867085553,42078.782300304345,HOLD,0.0,0.0,0,,hold_target,nan,0.12,existing target holding,main,account_ledger_preview/*/positions_current.csv,/home/runner/work/r1000-quant-engine/r1000-quant-engine/outputs/orchestrator/unified_target_latest.csv,green,
2026-05-13,simulated_broker_replay,simulation_ready_preview_only,equity,GEV,40.0,1062.5699462890625,42502.7978515625,0.039105593096831884,0.078,84776.06321461099,0.038894406903168116,42273.265363048486,HOLD,0.0,0.0,0,,review_rotation,nan,1.986351,challenger RKLB outranks held name,main,account_ledger_preview/*/positions_current.csv,/home/runner/work/r1000-quant-engine/r1000-quant-engine/outputs/orchestrator/unified_target_latest.csv,green,
2026-05-13,simulated_broker_replay,simulation_ready_preview_only,equity,MRVL,124.0,177.9499969482422,22065.79962158203,0.020302103037343738,0.05,54343.63026577628,0.029697896962656265,32277.830644194248,BUY,2049.0,364619.5437469482,1,ready,review_rotation,nan,4.201181,challenger SNDK outranks held name,"concentrated,main",account_ledger_preview/*/positions_current.csv,/home/runner/work/r1000-quant-engine/r1000-quant-engine/outputs/orchestrator/unified_target_latest.csv,green,
2026-05-13,simulated_broker_replay,simulation_ready_preview_only,equity,LRCX,76.0,295.44000244140625,22453.440185546875,0.020658759891209612,0.0403405562560911,43845.04547793526,0.019681796364881488,21391.605292388384,HOLD,0.0,0.0,0,,review_rotation,nan,5.23226339424014,challenger SNDK outranks held name,main,account_ledger_preview/*/positions_current.csv,/home/runner/work/r1000-quant-engine/r1000-quant-engine/outputs/orchestrator/unified_target_latest.csv,green,
2026-05-13,simulated_broker_replay,simulation_ready_preview_only,equity,VRT,60.0,369.989990234375,22199.3994140625,0.0204250243363323,0.0403405562560911,43845.04547793526,0.0199155319197588,21645.64606387276,HOLD,0.0,0.0,0,,review_rotation,nan,1.15534039424014,challenger RKLB outranks held name,main,account_ledger_preview/*/positions_current.csv,/home/runner/work/r1000-quant-engine/r1000-quant-engine/outputs/orchestrator/unified_target_latest.csv,green,
2026-05-13,simulated_broker_replay,simulation_ready_preview_only,equity,WDC,42.0,494.0899963378906,20751.779846191406,0.019093111506078526,0.038005458268212,41307.09144418206,0.018912346762133474,20555.31159799065,HOLD,0.0,0.0,0,,review_rotation,nan,2.838301935797249,challenger SNDK outranks held name,main,account_ledger_preview/*/positions_current.csv,/home/runner/work/r1000-quant-engine/r1000-quant-engine/outputs/orchestrator/unified_target_latest.csv,green,
2026-05-13,simulated_broker_replay,simulation_ready_preview_only,equity,FIX,9.0,2034.6300048828125,18311.670043945312,0.016848037161291157,0.0366095936483429,39789.964428117164,0.019761556487051746,21478.29438417185,HOLD,0.0,0.0,0,,review_rotation,nan,0.8289674517666814,challenger RKLB outranks held name,main,account_ledger_preview/*/positions_current.csv,/home/runner/work/r1000-quant-engine/r1000-quant-engine/outputs/orchestrator/unified_target_latest.csv,green,
2026-05-13,simulated_broker_replay,simulation_ready_preview_only,equity,FTI,270.0,72.68000030517578,19623.60008239746,0.018055105986134055,0.0357378865913129,38842.52990797104,0.017682780605178843,19218.929825573578,HOLD,0.0,0.0,0,,review_rotation,nan,0.3964503639866352,challenger XOM outranks held name,main,account_ledger_preview/*/positions_current.csv,/home/runner/work/r1000-quant-engine/r1000-quant-engine/outputs/orchestrator/unified_target_latest.csv,green,
2026-05-13,simulated_broker_replay,simulation_ready_preview_only,equity,NXPI,65.0,298.4100036621094,19396.65023803711,0.01784629600854292,0.0355922702248041,38684.26346832704,0.01774597421626118,19287.613230289928,HOLD,0.0,0.0,0,,review_trim_or_replace,nan,0.1368933388073909,high_weight_low_relative_strength,main,account_ledger_preview/*/positions_current.csv,/home/runner/work/r1000-quant-engine/r1000-quant-engine/outputs/orchestrator/unified_target_latest.csv,green,
2026-05-13,simulated_broker_replay,simulation_ready_preview_only,equity,UMC,1231.0,15.920000076293945,19597.520093917847,0.018031110544210072,0.0355778094641714,38668.54646374333,0.017546698919961325,19071.026369825486,HOLD,0.0,0.0,0,,hold_target,nan,0.0547350914833406,existing target holding,main,account_ledger_preview/*/positions_current.csv,/home/runner/work/r1000-quant-engine/r1000-quant-engine/outputs/orchestrator/unified_target_latest.csv,green,
2026-05-13,simulated_broker_replay,simulation_ready_preview_only,equity,CBOE,53.0,366.70001220703125,19435.100646972656,0.017881673115986332,0.0354553130348831,38535.40845050091,0.017573639918896766,19100.307803528252,HOLD,0.0,0.0,0,,hold_target,nan,0.0545466354382817,existing target holding,main,account_ledger_preview/*/positions_current.csv,/home/runner/work/r1000-quant-engine/r1000-quant-engine/outputs/orchestrator/unified_target_latest.csv,green,
2026-05-13,simulated_broker_replay,simulation_ready_preview_only,equity,PR,16405.0,20.239999771118164,332037.1962451935,0.30549780592620707,0.026,28258.687738203662,-0.27949780592620704,-303778.5085069898,SELL,-15698.0,-317727.51640701294,1,ready,review_rotation,nan,0.525451,challenger CHRD outranks held name,"concentrated,main",account_ledger_preview/*/positions_current.csv,/home/runner/work/r1000-quant-engine/r1000-quant-engine/outputs/orchestrator/unified_target_latest.csv,green,
2026-05-13,simulated_broker_replay,simulation_ready_preview_only,equity,STM,226.0,63.389999389648445,14326.139862060549,0.013181066292402857,0.026,28258.687738203662,0.012818933707597142,13932.547876143113,HOLD,0.0,0.0,0,,hold_target,nan,0.04,existing target holding,main,account_ledger_preview/*/positions_current.csv,/home/runner/work/r1000-quant-engine/r1000-quant-engine/outputs/orchestrator/unified_target_latest.csv,green,
2026-05-13,simulated_broker_replay,simulation_ready_preview_only,equity,HPE,446.0,32.06999969482422,14303.219863891602,0.013159978266026212,0.026,28258.687738203662,0.012840021733973786,13955.46787431206,HOLD,0.0,0.0,0,,review_rotation,nan,6.203646,challenger SNDK outranks held name,main,account_ledger_preview/*/positions_current.csv,/home/runner/work/r1000-quant-engine/r1000-quant-engine/outputs/orchestrator/unified_target_latest.csv,green,
2026-05-13,simulated_broker_replay,simulation_ready_preview_only,equity,TKR,123.0,115.73999786376953,14236.019737243652,0.013098149376127528,0.026,28258.687738203662,0.01290185062387247,14022.66800096001,HOLD,0.0,0.0,0,,review_trim_or_replace,nan,0.1127759999999999,under_benchmark_3m,main,account_ledger_preview/*/positions_current.csv,/home/runner/work/r1000-quant-engine/r1000-quant-engine/outputs/orchestrator/unified_target_latest.csv,green,
2026-05-13,simulated_broker_replay,simulation_ready_preview_only,equity,MLI,102.0,139.5500030517578,14234.100311279297,0.013096383367898994,0.026,28258.687738203662,0.012903616632101005,14024.587426924365,HOLD,0.0,0.0,0,,review_rotation,nan,3.246741,challenger RKLB outranks held name,main,account_ledger_preview/*/positions_current.csv,/home/runner/work/r1000-quant-engine/r1000-quant-engine/outputs/orchestrator/unified_target_latest.csv,green,
2026-05-13,simulated_broker_replay,simulation_ready_preview_only,equity,ON,123.0,115.70999908447266,14232.329887390137,0.013094754452163607,0.026,28258.687738203662,0.012905245547836392,14026.357850813525,HOLD,0.0,0.0,0,,review_rotation,nan,3.736648,challenger SNDK outranks held name,main,account_ledger_preview/*/positions_current.csv,/home/runner/work/r1000-quant-engine/r1000-quant-engine/outputs/orchestrator/unified_target_latest.csv,green,
2026-05-13,simulated_broker_replay,simulation_ready_preview_only,equity,CIEN,0.0,577.9000244140625,0.0,0.0,0.025,27171.81513288814,0.025,27171.81513288814,BUY,315.0,182038.5076904297,1,ready,hold_target,nan,0.25,existing target holding,concentrated,account_ledger_preview/*/positions_current.csv,/home/runner/work/r1000-quant-engine/r1000-quant-engine/outputs/orchestrator/unified_target_latest.csv,green,
2026-05-13,simulated_broker_replay,simulation_ready_preview_only,equity,MU,0.0,803.6300048828125,0.0,0.0,0.025,27171.81513288814,0.025,27171.81513288814,BUY,223.0,179209.4910888672,1,cash_scaled,hold_target,nan,0.25,existing target holding,concentrated,account_ledger_preview/*/positions_current.csv,/home/runner/work/r1000-quant-engine/r1000-quant-engine/outputs/orchestrator/unified_target_latest.csv,green,
2026-05-13,simulated_broker_replay,simulation_ready_preview_only,equity,ETR,2758.0,112.3499984741211,309861.295791626,0.28509440230271643,0.0,0.0,-0.28509440230271643,-309861.295791626,SELL,-2758.0,-309861.295791626,1,ready,,,0.0,,concentrated,account_ledger_preview/*/positions_current.csv,/home/runner/work/r1000-quant-engine/r1000-quant-engine/outputs/orchestrator/unified_target_latest.csv,green,
2026-05-13,simulated_broker_replay,simulation_ready_preview_only,equity,AMD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HOLD,0.0,0.0,0,,"consider_concentrated_challenger,consider_main_scout",nan,5.752457666344688,"strong_3m_momentum,strong_6m_momentum,strong_12m_momentum,high_relative_strength,entry_quality_chase_penalty,engine_likes_nonheld_name",,account_ledger_preview/*/positions_current.csv,/home/runner/work/r1000-quant-engine/r1000-quant-engine/outputs/orchestrator/unified_target_latest.csv,green,
2026-05-13,simulated_broker_replay,simulation_ready_preview_only,equity,BE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HOLD,0.0,0.0,0,,"consider_concentrated_challenger,consider_main_scout",nan,5.323503780496089,"strong_3m_momentum,strong_6m_momentum,strong_12m_momentum,high_relative_strength,entry_quality_chase_penalty,engine_likes_nonheld_name,ranking_mismatch",,account_ledger_preview/*/positions_current.csv,/home/runner/work/r1000-quant-engine/r1000-quant-engine/outputs/orchestrator/unified_target_latest.csv,green,
2026-05-13,simulated_broker_replay,simulation_ready_preview_only,equity,COHR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HOLD,0.0,0.0,0,,"consider_concentrated_challenger,consider_main_scout",nan,5.126962524872125,"strong_3m_momentum,strong_6m_momentum,strong_12m_momentum,high_relative_strength,entry_quality_chase_penalty",,account_ledger_preview/*/positions_current.csv,/home/runner/work/r1000-quant-engine/r1000-quant-engine/outputs/orchestrator/unified_target_latest.csv,green,
