rank,ticker,target_weight,regime_state,row_type
1,GOOG,0.15212053774175097,neutral,equity
2,AMZN,0.12805157294072683,neutral,equity
3,GEV,0.08,neutral,equity
4,PLTR,0.05893626808227391,neutral,equity
5,VRT,0.05893626808227391,neutral,equity
6,LRCX,0.05631812114904769,neutral,equity
7,FTI,0.04106885466151706,neutral,equity
8,TER,0.04,neutral,equity
9,ON,0.04,neutral,equity
10,STM,0.04,neutral,equity
11,PR,0.04,neutral,equity
12,DTM,0.04,neutral,equity
13,KIM,0.04,neutral,equity
14,MLI,0.04,neutral,equity
15,TSM,0.03794608269336571,neutral,equity
16,FIX,0.037815600810357425,neutral,equity
17,WELL,0.03552766781640803,neutral,equity
18,CASH,0.0332790260222785,neutral,cash
