rebalance_date,next_rebalance_date,gross_return,cost,net_return,turnover,missing_tickers,cash_weight,rebalance_action,active_rebalance_interval_months,next_scheduled_rebalance_date,target_n,weighting_mode,portfolio_mode,raw_gross_return,position_risk_return_delta,position_risk_exit_count,position_risk_enabled,position_risk_hard_stop,equity,equity_value_usd,bench_return,benchmark_equity,benchmark_value_usd,target_stock_names
2019-04-30,2019-05-31,0.012671526012792755,0.0025,0.010171526012792755,0.5,0,0.0,initial_rebalance,1,2019-05-31,1,conviction_curve,concentrated_alpha,0.012671526012792755,0.0,0,True,-0.08,1.0101715260127928,101017.15260127927,-0.06131893163869451,0.9386810683613055,93868.10683613055,1
2019-05-31,2019-06-28,0.0722397517464981,0.005,0.0672397517464981,1.0,0,0.0,rebalance,1,2019-06-28,1,conviction_curve,concentrated_alpha,0.0722397517464981,0.0,0,True,-0.08,1.0780952086432742,107809.52086432742,0.08011805644118142,1.0138863711765451,101388.6371176545,1
2019-06-28,2019-07-31,0.015825227504955297,0.0,0.015825227504955297,0.0,0,0.0,rebalance,1,2019-07-31,1,conviction_curve,concentrated_alpha,0.015825227504955297,0.0,0,True,-0.08,1.0951563105920563,109515.63105920563,-0.0036331987329345505,1.0102027204974469,101020.27204974469,1
2019-07-31,2019-08-30,0.008876010727727701,0.005,0.003876010727727701,1.0,0,0.0,rebalance,1,2019-08-30,1,conviction_curve,concentrated_alpha,0.008876010727727701,0.0,0,True,-0.08,1.09940114820045,109940.114820045,-0.01601118650035893,0.9940281763363923,99402.81763363924,1
2019-08-30,2019-09-30,-0.04154683036749873,0.0,-0.04154683036749873,0.0,0,0.0,rebalance,1,2019-09-30,1,conviction_curve,concentrated_alpha,-0.04154683036749873,0.0,0,True,-0.08,1.0537245151903325,105372.45151903325,0.011691962549935209,1.0056503165476978,100565.03165476977,1
2019-09-30,2019-10-31,0.023581474167932548,0.005,0.018581474167932547,1.0,0,0.0,rebalance,1,2019-10-31,1,conviction_curve,concentrated_alpha,0.023581474167932548,0.0,0,True,-0.08,1.073304270049459,107330.4270049459,0.043077969560411544,1.0489716902723578,104897.16902723578,1
2019-10-31,2019-11-29,-0.0619733610289851,0.0,-0.0619733610289851,0.0,0,0.0,rebalance,1,2019-11-29,1,conviction_curve,concentrated_alpha,-0.0619733610289851,0.0,0,True,-0.08,1.0067879970277327,100678.79970277326,0.01531182851795454,1.0650333649139971,106503.3364913997,1
2019-11-29,2019-12-31,0.033965158385026006,0.005,0.028965158385026005,1.0,0,0.0,rebalance,1,2019-12-31,1,conviction_curve,concentrated_alpha,0.033965158385026006,0.0,0,True,-0.08,1.0359497708217842,103594.97708217842,0.046238282266118924,1.114278678263725,111427.8678263725,1
2019-12-31,2020-01-31,0.01426715868656725,0.005,0.009267158686567249,1.0,0,0.0,rebalance,1,2020-01-31,1,conviction_curve,concentrated_alpha,0.01426715868656725,0.0,0,True,-0.08,1.0455500817393026,104555.00817393027,-0.0027410715656029927,1.1112243606625787,111122.43606625787,1
2020-01-31,2020-02-28,-0.06245277615712996,0.005,-0.06745277615712997,1.0,0,0.0,rebalance,1,2020-02-28,1,conviction_curve,concentrated_alpha,-0.06245277615712996,0.0,0,True,-0.08,0.9750248261146726,97502.48261146726,-0.048843923519200194,1.0569478029777035,105694.78029777035,1
