as_of_date,recommendation_date,current_account_last_trade_date,current_account_stale_days,pending_order_count_to_recommendation,portfolio_kind,row_type,ticker,shares,current_price,market_value_usd,current_weight,recommended_target_weight,projected_weight_after_recommendation_orders,recommended_trade_action,recommended_trade_quantity,recommended_trade_value_delta_usd,cost_basis,avg_entry_price,entry_date,latest_entry_date,entry_signal_date,return_since_entry_pct,unrealized_pnl_usd,realized_pnl_usd,entry_reason,entry_sleeve,open_lot_count
2026-05-12,2026-05-12,2026-03-02,71,24,main,equity,MU,62.0,766.5800170898438,47527.96105957031,0.1216879845562652,0.0,,SELL,62.0,-47527.96105957031,237.7040761311849,240.2619781494141,2025-12-01,2025-12-01,2025-11-28,2.1906006226799777,32790.308339436844,10095.193561350505,target_rebalance,core_compounder,1
2026-05-12,2026-05-12,2026-03-02,71,24,main,equity,AMAT,74.0,431.2000122070313,31908.800903320312,0.0816975436136516,0.0,,SELL,74.0,-31908.800903320312,344.7111197806693,344.7111197806693,2026-02-02,2026-03-02,2026-01-30,0.2509025310276982,6400.178039550781,765.1011962890642,target_rebalance,"core_compounder,future_winner",2
2026-05-12,2026-05-12,2026-03-02,71,24,main,equity,LRCX,108.0,289.239990234375,31237.9189453125,0.0799798542466954,0.0656944254569447,0.0661403732780112,SELL,19.0,-5579.493371628716,180.6783640258789,183.59412708988896,2025-11-03,2026-02-02,2025-10-31,0.5754316045891876,11724.65563051758,6323.142413658524,target_rebalance,future_winner,3
2026-05-12,2026-05-12,2026-03-02,71,24,main,equity,GOOGL,80.0,387.3500061035156,30988.00048828125,0.0793399767375082,0.0,,SELL,80.0,-30988.00048828125,340.7140662079649,343.4482421875,2026-02-02,2026-02-02,2026-01-30,0.12782643357379064,3730.87519164406,10945.21813606896,target_rebalance,core_compounder,1
2026-05-12,2026-05-12,2026-03-02,71,24,main,equity,VRT,65.0,367.1300048828125,23863.45031738281,0.0610986692663128,0.0831132310277475,0.0830081718157315,BUY,23.0,8598.278934081518,257.68865966796875,257.68865966796875,2026-03-02,2026-03-02,2026-02-27,0.42470376987430747,7113.687438964844,1750.878056621551,target_rebalance,future_winner,1
2026-05-12,2026-05-12,2026-03-02,71,24,main,equity,VZ,395.0,47.93000030517578,18932.350120544437,0.0484733507964931,0.0,,SELL,395.0,-18932.350120544437,49.239402770996094,49.239402770996094,2026-03-02,2026-03-02,2026-02-27,-0.02659257407954596,-517.2139739990234,-296.5857320213318,target_rebalance,future_winner,1
2026-05-12,2026-05-12,2026-03-02,71,24,main,equity,FTI,250.0,73.19000244140625,18297.50061035156,0.0468479169325182,0.0513852414778183,0.0515253109336776,BUY,24.0,1772.15347176648,67.44703674316406,67.44703674316406,2026-03-02,2026-03-02,2026-02-27,0.08514778373601795,1435.7414245605469,0.0,target_rebalance,future_winner,1
2026-05-12,2026-05-12,2026-03-02,71,24,main,equity,SCCO,94.0,188.8514862060547,17752.03970336914,0.0454513487451784,0.0,,SELL,94.0,-17752.03970336914,215.54183959960935,215.54183959960935,2026-03-02,2026-03-02,2026-02-27,-0.12382910641912803,-2508.8932189941406,0.0,target_rebalance,future_winner,1
2026-05-12,2026-05-12,2026-03-02,71,24,main,equity,APH,134.0,127.87000274658205,17134.580368041992,0.043870439731067,0.0,,SELL,134.0,-17134.580368041992,134.6868962545268,134.81339639692163,2025-10-01,2026-03-02,2025-09-30,-0.05150373654185403,-913.4637300645992,4525.707415825095,target_rebalance,future_winner,2
2026-05-12,2026-05-12,2026-03-02,71,24,main,equity,RGLD,58.0,245.3500061035156,14230.300354003906,0.0364344804848377,0.0,,SELL,58.0,-14230.300354003906,303.7432556152344,303.7432556152344,2026-03-02,2026-03-02,2026-02-27,-0.19224541922237182,-3386.8084716796875,0.0,target_rebalance,future_winner,1
2026-05-12,2026-05-12,2026-03-02,71,24,main,equity,PR,540.0,20.170000076293945,10891.80004119873,0.0278867674029209,0.0,,SELL,540.0,-10891.80004119873,18.6336612701416,18.6336612701416,2026-03-02,2026-03-02,2026-02-27,0.08244964764998475,829.6229553222656,683.115709912777,target_rebalance,early_scout,1
2026-05-12,2026-05-12,2026-03-02,71,24,main,equity,ETR,95.0,112.93000030517578,10728.3500289917,0.0274682789570092,0.0,,SELL,95.0,-10728.3500289917,106.0512237548828,106.0512237548828,2026-03-02,2026-03-02,2026-02-27,0.06486277391944073,653.483772277832,1485.9566100597383,target_rebalance,early_scout,1
2026-05-12,2026-05-12,2026-03-02,71,24,main,equity,ATI,60.0,161.00999450683594,9660.599670410156,0.0247344695057229,0.0,,SELL,60.0,-9660.599670410156,166.4199981689453,166.4199981689453,2026-03-02,2026-03-02,2026-02-27,-0.03250813436866695,-324.6002197265625,233.35419443130493,target_rebalance,early_scout,1
2026-05-12,2026-05-12,2026-03-02,71,24,main,equity,BKNG,60.0,160.55999755859375,9633.599853515623,0.0246653406555043,0.0,,SELL,60.0,-9633.599853515623,166.81065368652344,166.81065368652344,2026-03-02,2026-03-02,2026-02-27,-0.03747156425437992,-375.0393676757813,3515.121156692499,target_rebalance,early_scout,1
2026-05-12,2026-05-12,2026-03-02,71,24,main,cash,CASH,0.0,1.0,97785.08902760262,0.2503635783683144,0.0,0.0011104560754253,DEPLOY_CASH,0.0,0.0,1.0,1.0,,,,0.0,0.0,0.0,uninvested_cash,cash,0
