field,runner_value,local_value,matches,diff_class
schema_version,alphaops-vnext-target-generation-input-manifest-v1,alphaops-vnext-target-generation-input-manifest-v1,True,match
code.github_ref,refs/heads/codex/integration-fullrun-clean-20260630,,False,mismatch
code.github_sha,15176b588d5bb0792bce1df6367758d795a8a33a,,False,mismatch
candidate_book.sha256,7ffa0b27382d303008ffca55878b259ccf7f11beaee28be6f1e4653c30e97989,7ffa0b27382d303008ffca55878b259ccf7f11beaee28be6f1e4653c30e97989,True,match
candidate_row_count,47435,47435,True,match
candidate_rebalance_date_min,2019-05-31,2019-05-31,True,match
candidate_rebalance_date_max,2026-05-29,2026-05-29,True,match
price_cache.required_ticker_count,981,981,True,match
price_cache.existing_price_file_count,981,981,True,match
price_cache.missing_price_file_count,0,0,True,match
price_cache.manifest.sha256,fdcf36399cb75225423ce71a92e9cc36e580482015c8bf07718d02376acb4a18,1328919074a8ad2ad1916003860ca747183f58f2263bf9af13ebe673810f536a,False,mismatch
macro_crisis_inputs.long_crisis_features.sha256,0059b029d0f304c5030b78c5673cc430d4307904e06e6fb425b7ce6c27fe3ffc,0ef3bdaa313f0956bb74db2d2c85e01d8988c111d9be36f7cc27995e6c4537db,False,mismatch
macro_crisis_inputs.long_crisis_thresholds.sha256,d108c017e301f6929e1441827d5a19c02beb0d89727dbbff40f94f3e504d2da2,d108c017e301f6929e1441827d5a19c02beb0d89727dbbff40f94f3e504d2da2,True,match
operating_append_end_date,,2026-07-02,False,mismatch
env.PHASE_AI_CAPEX_MOMENTUM_TILT_ENABLED,1,1,True,match
env.PHASE_CONCENTRATED_CASHFUNDED_EARLY_ENTRY_ENABLED,1,1,True,match
env.PHASE_CONCENTRATED_REPLACEMENT_QUALITY_ENABLED,1,1,True,match
env.PHASE_MAIN_FAST_CRASH_HEDGE_ENABLED,,,True,match
env.PHASE_MAIN_POST_SELECTION_TOPN_FILTER_ENABLED,1,1,True,match
env.PHASE_REGIME_CAPACITY_BULL_FLOOR_ENABLED,,,True,match
env.R1000_CONC_CASHFUNDED_EARLY_ENTRY_ADD_WEIGHT,0.058,0.058,True,match
env.R1000_CONC_CASHFUNDED_EARLY_ENTRY_ALLOW_CRISIS,,,True,match
env.R1000_CONC_CASHFUNDED_EARLY_ENTRY_MAX_OVERHEAT,,,True,match
env.R1000_CONC_CASHFUNDED_EARLY_ENTRY_MAX_RS6,,,True,match
env.R1000_CONC_CASHFUNDED_EARLY_ENTRY_MIN_BREAKOUT_QUALITY,0.50,0.50,True,match
env.R1000_CONC_CASHFUNDED_EARLY_ENTRY_SIGNAL,,,True,match
env.R1000_CONC_GROSS_CAP_FLOOR,,,True,match
env.R1000_CONC_REPLACEMENT_QUALITY_MAX_SWAPS_PER_DATE,,,True,match
env.R1000_CONC_REPLACEMENT_QUALITY_MIN_REVENUE_GROWTH,,,True,match
env.R1000_CONC_REPLACEMENT_QUALITY_RANK_MAX,,,True,match
env.R1000_CONC_SCORE_SIZING_BLEND,,,True,match
env.R1000_CONC_SCORE_SIZING_CAP_MODE,,,True,match
env.R1000_CONC_SCORE_SIZING_RANK_POWER,,,True,match
env.R1000_CONC_SCORE_SIZING_SIGNAL,,,True,match
env.R1000_CONC_SCORE_SIZING_SINGLE_CAP,,,True,match
env.R1000_MAIN_AI_CAPEX_TILT_STRENGTH,0.20,0.20,True,match
env.R1000_MAIN_FAST_CRASH_HEDGE_BENCHMARK,,,True,match
env.R1000_MAIN_FAST_CRASH_HEDGE_TICKER,,,True,match
env.R1000_MAIN_FAST_CRASH_HEDGE_WEIGHT,,,True,match
env.R1000_MAIN_FAST_CRASH_RISK_BUFFER_WEIGHT,,,True,match
env.R1000_MAIN_POST_SELECTION_TOP_N,14,14,True,match
